GKZ,Gebietsname,Wahlberechtigte,stimmen_abg,stimmen_ung,stimmen_guel,candidate,result_abs,result_pct,bland,bezirk,sprengl,wahlkarte
G91100,"Wien 11.,Simmering",59437,31025,478,30547,Dr. Alexander Van der Bellen,16042,52.515795331783806,Wien,TRUE,FALSE,FALSE
G91100,"Wien 11.,Simmering",59437,31025,478,30547,Dr. Tassilo Wallentin,2395,7.8403771237764746,Wien,TRUE,FALSE,FALSE
G91100,"Wien 11.,Simmering",59437,31025,478,30547,Dr. Dominik Wlazny,4402,14.410580417062233,Wien,TRUE,FALSE,FALSE
G91101,Simmering,59437,24895,399,24496,Dr. Michael Brunner,493,2.012573481384716,Wien,FALSE,TRUE,FALSE
G91101,Simmering,59437,24895,399,24496,Gerald Grosz,1676,6.841933376877858,Wien,FALSE,TRUE,FALSE
G91101,Simmering,59437,24895,399,24496,Dr. Walter Rosenkranz,4465,18.22746570868713,Wien,FALSE,TRUE,FALSE
G91101,Simmering,59437,24895,399,24496,Heinrich Staudinger,167,0.6817439581972567,Wien,FALSE,TRUE,FALSE
G91101,Simmering,59437,24895,399,24496,Dr. Alexander Van der Bellen,12288,50.163291966035274,Wien,FALSE,TRUE,FALSE
G91101,Simmering,59437,24895,399,24496,Dr. Tassilo Wallentin,1933,7.891084258654474,Wien,FALSE,TRUE,FALSE
G91101,Simmering,59437,24895,399,24496,Dr. Dominik Wlazny,3474,14.181907250163292,Wien,FALSE,TRUE,FALSE
G91199,"Wahlkarten - Wien 11.,Simmering",0,6130,79,6051,Dr. Michael Brunner,63,1.0411502231036194,Wien,FALSE,TRUE,TRUE
G91199,"Wahlkarten - Wien 11.,Simmering",0,6130,79,6051,Gerald Grosz,205,3.387869773591142,Wien,FALSE,TRUE,TRUE
G91199,"Wahlkarten - Wien 11.,Simmering",0,6130,79,6051,Dr. Walter Rosenkranz,602,9.948768798545695,Wien,FALSE,TRUE,TRUE
G91199,"Wahlkarten - Wien 11.,Simmering",0,6130,79,6051,Heinrich Staudinger,37,0.6114691786481574,Wien,FALSE,TRUE,TRUE
G91199,"Wahlkarten - Wien 11.,Simmering",0,6130,79,6051,Dr. Alexander Van der Bellen,3754,62.039332341761686,Wien,FALSE,TRUE,TRUE
G91199,"Wahlkarten - Wien 11.,Simmering",0,6130,79,6051,Dr. Tassilo Wallentin,462,7.635101636093208,Wien,FALSE,TRUE,TRUE
G91199,"Wahlkarten - Wien 11.,Simmering",0,6130,79,6051,Dr. Dominik Wlazny,928,15.336308048256486,Wien,FALSE,TRUE,TRUE
G91200,"Wien 12.,Meidling",53680,29992,406,29586,Dr. Michael Brunner,627,2.119245589129994,Wien,TRUE,FALSE,FALSE
G91200,"Wien 12.,Meidling",53680,29992,406,29586,Gerald Grosz,1222,4.130331913742986,Wien,TRUE,FALSE,FALSE
G91200,"Wien 12.,Meidling",53680,29992,406,29586,Dr. Walter Rosenkranz,3210,10.849726221861692,Wien,TRUE,FALSE,FALSE
G91200,"Wien 12.,Meidling",53680,29992,406,29586,Heinrich Staudinger,270,0.9125937943621983,Wien,TRUE,FALSE,FALSE
G91200,"Wien 12.,Meidling",53680,29992,406,29586,Dr. Alexander Van der Bellen,19174,64.8076793077807,Wien,TRUE,FALSE,FALSE
G91200,"Wien 12.,Meidling",53680,29992,406,29586,Dr. Tassilo Wallentin,1879,6.3509768133576685,Wien,TRUE,FALSE,FALSE
G91200,"Wien 12.,Meidling",53680,29992,406,29586,Dr. Dominik Wlazny,3204,10.829446359764754,Wien,TRUE,FALSE,FALSE
G91201,Meidling,53680,22985,338,22647,Dr. Michael Brunner,525,2.3181878394489335,Wien,FALSE,TRUE,FALSE
