,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,username,name
46,1496083805941243904,2022-09-28 18:49:26+00:00, ,1575195997072150528,de,0,0,0,0,Twitter for iPhone,"@schweizok2 Mir fallen da einige ein, z.B.
#bundespraesident 
#Bundeskanzler und Minister
#Ministerpräsidenten
#Abgeordnete
#Medienunternehmen - Mainstream 
#Millionäre und Milliardäre
#grün/rote radikale Ideologen

Alle anderen dürfen davon träumen ggf. bedacht zu werden.",Liberty0863,HOPE for 🇩🇪
47,29674394,2022-09-28 18:32:20+00:00, ,1575191694920028160,de,0,0,0,4,Twitter for Android,RT @hashtag_jetzt: Die Qual der Wahl. Wir starten mit dem Titelverteidiger  @vanderbellen 1/7! #bpwahl #bundespräsident #politikoida #wiens…,apfl,Stefan Apfl
48,190623962,2022-09-28 18:25:09+00:00, ,1575189885681803264,de,5,0,0,1,Twitter Web App,"➡️ Kandidatencheck zur Österreichwahl!
Heute @GeraldGrosz.

Für die @kleinezeitung, Österreichs zweitgrößter Tageszeitung, habe ich eine Video Kolumne für euch gemacht.

Link zum Video:
https://t.co/tem7sUIrVw

#körpersprache
#bundespräsident
#wahl2022
#wahl22
#bpwahl22",StefanVerra,Stefan Verra
49,1351563234441113602,2022-09-28 16:46:27+00:00, ,1575165048292802561,de,27,3,2,4,Twitter Web App,Die Qual der Wahl. Wir starten mit dem Titelverteidiger  @vanderbellen 1/7! #bpwahl #bundespräsident #politikoida #wienstabil #vanderbellen https://t.co/tW0EkVQ3Bl,hashtag_jetzt,hashtag_jetzt
50,920308807,2022-09-28 16:27:19+00:00, ,1575160232548134913,de,0,0,0,1,Twitter for Android,"RT @AdVerteisa: @norbertdresche2 Es kann nur EINEN geben. 
❌Dr. Dominik Wlazny für 🇦🇹
@marcopogo666

#Bundespraesident #Wahl #BPW22 #Wlazny…",drakkalas,drak kalas
51,1471037822207471619,2022-09-28 13:24:22+00:00, ,1575114191093915648,de,0,0,0,51,Twitter for Android,"RT @IliasUyar: Hi @AuswaertigesAmt, dem diplomatischen Niveau von #Aserbaidschan mag es entsprechen, ist es aber für Sie akzeptabel, wenn d…",AlexElbakyan,Alex Elbakyan
52,19528958,2022-09-28 11:29:43+00:00, ,1575085338459983872,und,0,0,0,0,Twitter for Android,"#Österreich 
#DominikWlazny 👍
#Bundespräsident

https://t.co/4kaOCPwAIQ https://t.co/lMyAZbmrCB",nagel_berlin,nagel-bln
53,19528958,2022-09-28 11:27:19+00:00, ,1575084736409587712,de,0,0,0,0,Twitter for Android,"#DominikWlazny 👍
....ich kann mir niemanden anderes als #Bundespräsident 'en vorstellen ‼️
Einfach mal reinhören :

https://t.co/4kaOCPwAIQ https://t.co/xsALo03xCO",nagel_berlin,nagel-bln
54,132677711,2022-09-28 11:07:27+00:00, ,1575079735226683395,de,0,0,0,3,Twitter for Android,RT @ndrmv: Vom 11. bis 13. Oktober 2022 wird #Bundespräsident Frank-Walter #Steinmeier seine Amtsgeschäfte von der Residenzstadt #Neustreli…,ndr,NDR.de
55,147538510,2022-09-28 10:53:06+00:00, ,1575076127391227904,de,0,0,1,0,Twitter Web App,"#Scholz wegen #Corona abgetaucht. Und was macht eigentlich der #Bundespräsident? Franz Wilhelm Steinmöller, oder wie hieß der noch? #Nordstream1 #NordStream2",fussballscheune,Fußballscheune
56,1010793183754760192,2022-09-28 10:43:16+00:00, ,1575073652718333952,de,0,0,0,3,Twitter Web App,RT @ndrmv: Vom 11. bis 13. Oktober 2022 wird #Bundespräsident Frank-Walter #Steinmeier seine Amtsgeschäfte von der Residenzstadt #Neustreli…,Dirk69911901,Dirk
57,1147894796,2022-09-28 10:37:27+00:00, ,1575072188792717313,de,15,0,3,3,Hootsuite Inc.,Vom 11. bis 13. Oktober 2022 wird #Bundespräsident Frank-Walter #Steinmeier seine Amtsgeschäfte von der Residenzstadt #Neustrelitz aus führen. Das Staatsoberhaupt will in dieser Zeit mit vielen Bürgern ins Gespräch kommen. #MV https://t.co/OwOtore2qF,ndrmv,NDR MV
58,608875906,2022-09-28 09:43:43+00:00, ,1575058662728425474,de,4,0,0,0,Twitter for Android,"Nur weil du die Notbremse im Zug noch nie gebraucht hast, wirst du sie trotzdem nicht ausbauen, oder? 
Genauso verhält es sich mitm Bundespräsidenten. Der ist die verfassungsmäßige Notbremse im Staat. Ich persönlich finde diese Diskussion überflüssig!  
#Bundespräsident",ManfredWalter4,Da_Polifka_Rudl
59,1119922741,2022-09-28 08:35:20+00:00, ,1575041454627778566,de,1,0,0,0,Twitter Web App,"@AlexWallasch Unser aller #Bundespräsident...

Leider underperformt er hier. Nicht so wie mit dem #Iran  oder anderen Gelegenheiten, aber immerhin.",woli2017,woli2017
60,1426644394657124355,2022-09-28 07:35:05+00:00, ,1575026293371854848,de,0,0,0,0,Twitter for Android,"@maxotte_says Es wäre sogar Deine Pflicht gewesen. 
Und es ist die Pflicht vom aktuellen #Bundespräsident die unverzügliche Aufklärung und die Bestrafung der Täter zu fordern. 
Das war ein Terroranschlag auf die Grundversorgung unseres Landes.
#Nordstream1 
#NordStream2 
#Terror",FrankMMueller,❌Frank Müller 🏳️‍🌈
61,2486197420,2022-09-28 07:03:34+00:00, ,1575018362681188352,de,0,0,0,0,Twitter for Android,"@maxotte_says Wusste gar nicht das der 🇩🇪 #Bundespräsident Ermittlungen auf🇩🇰 Hoheitsgebiet veranlassen/fordern kann.🤷🤦‍♂️Na Maxl, da hascht mal einen rausgehauen für deine Schwurbler Bubble. Jetzt könnt'er euch auf de Schulter kloppn, wie toll es mit euch an der Macht wäre. 🤪🤮
#NordStream2",Giid78,Giid
